#SampleID	BarcodeSequence	LinkerPrimerSequence	Description
NC-014-M10			SouthCA
FOF-012-M11			NorthCA
DS-006-M12			SouthCA
SAC-015-M13			NorthCA
DS-027-M14			SouthCA
DS-021-M15			SouthCA
DS-015-M16			SouthCA
DS-016-M17			SouthCA
DS-040-M18			SouthCA
DS-022-M19			SouthCA
B-flea-M1			SouthCA
NC-027-M20			SouthCA
NC-028-M21			SouthCA
NC-036-M22			SouthCA
SAC-001-M23			NorthCA
SAC-002-M24			NorthCA
SAC-003-M25			NorthCA
SAC-005-M26			NorthCA
X-flea-M2			SouthCA
F-flea-M3			SouthCA
S-flea-M4			SouthCA
NO-flea-M5			NTC
SAC-023-M6			NorthCA
DS-024-M8			SouthCA
SAC-004-M9			NorthCA
