#SampleID	BarcodeSequence	LinkerPrimerSequence	Description
865A1			p1_A01_AKC_2017_VB15-00002_testedNeg_30+15
662A2			p1_A02_AKC_2017_VB15-00037_testedNeg_30+15
312A3			p1_A03_AKC_2017_VB15-00058_testedNeg_30+15
876A4			p1_A04_AKC_2017_VB15-00094_testedNeg_30+15
746A5			p1_A05_AKC_2017_VB15-00114_testedNeg_30+15
770A6			p1_A06_AKC_2017_VB15-00121_testedNeg_30+15
388A7			p1_A07_AKC_2017_VB15-00126_testedNeg_30+15
187A8			p1_A08_AKC_2017_VB15-00170_testedNeg_30+15
29A9			p1_A09_AKC_2017_VB15-00188_testedNeg_30+15
875A10			p1_A10_AKC_2017_VB15-00195_testedNeg_30+15
33A11			p1_A11_AKC_2017_VB15-00199_testedNeg_30+15
156A12			p1_A12_AKC_2017_VB15-00225_testedNeg_30+15
256A1			p1_B01_AKC_2017_VB15-00241_testedNeg_30+15
678A2			p1_B02_AKC_2017_VB15-00270_testedNeg_30+15
779A3			p1_B03_AKC_2017_VB15-00271_testedNeg_30+15
682A4			p1_B04_AKC_2017_VB15-00293_testedNeg_30+15
410A5			p1_B05_AKC_2017_VB15-00310_testedNeg_30+15
757A6			p1_B06_AKC_2017_VB15-00312_testedNeg_30+15
664A7			p1_B07_AKC_2017_VB15-00337_testedNeg_30+15
286A8			p1_B08_AKC_2017_VB15-00338_testedNeg_30+15
104A9			p1_B09_AKC_2017_VB15-00349_testedNeg_30+15
270A10			p1_B10_AKC_2017_VB15-00371_testedNeg_30+15
857A11			p1_B11_AKC_2017_VB15-00416_testedNeg_30+15
741A12			p1_B12_AKC_2017_VB15-00447_testedNeg_30+15
775A1			p1_C01_AKC_2017_VB15-00459_testedNeg_30+15
526A2			p1_C02_AKC_2017_VB15-00544_testedNeg_30+15
874A3			p1_C03_AKC_2017_VB15-00545_testedNeg_30+15
5A4			p1_C04_AKC_2017_VB15-00546_testedNeg_30+15
295A5			p1_C05_AKC_2017_VB15-00590_testedNeg_30+15
497A6			p1_C06_AKC_2017_VB15-00607_testedNeg_30+15
789A7			p1_C07_AKC_2017_VB15-00614_testedNeg_30+15
73A8			p1_C08_AKC_2017_VB15-00663_testedNeg_30+15
837A9			p1_C09_AKC_2017_VB15-00671_testedNeg_30+15
832A10			p1_C10_AKC_2017_VB15-00709_testedNeg_30+15
563A11			p1_C11_AKC_2017_VB15-00720_testedNeg_30+15
101A12			p1_C12_AKC_2017_VB15-00724_testedNeg_30+15
500A1			p1_D01_AKC_2017_VB15-00726_testedNeg_30+15
228A2			p1_D02_AKC_2017_VB15-00782_testedNeg_30+15
97A3			p1_D03_AKC_2017_VB15-00825_testedNeg_30+15
641A4			p1_D04_AKC_2017_VB15-00842_testedNeg_30+15
835A5			p1_D05_AKC_2017_VB15-00907_testedNeg_30+15
213A6			p1_D06_AKC_2017_VB15-00916_testedNeg_30+15
93A7			p1_D07_AKC_2017_VB15-00917_testedNeg_30+15
203A8			p1_D08_AKC_2017_VB15-00983_testedNeg_30+15
772A9			p1_D09_AKC_2017_VB15-01000_testedNeg_30+15
858A10			p1_D10_AKC_2017_VB15-01007_testedNeg_30+15
468A11			p1_D11_AKC_2017_VB15-01022_testedNeg_30+15
527A12			p1_D12_AKC_2017_VB15-01077_testedNeg_30+15
158A1			p1_E01_AKC_2017_VB15-01083_testedNeg_30+15
600A2			p1_E02_AKC_2017_VB15-01090_testedNeg_30+15
165A3			p1_E03_AKC_2017_VB15-01101_testedNeg_30+15
648A4			p1_E04_AKC_2017_VB15-01131_testedNeg_30+15
743A5			p1_E05_AKC_2017_VB15-01150_testedNeg_30+15
720A6			p1_E06_AKC_2017_VB15-01170_testedNeg_30+15
539A7			p1_E07_AKC_2017_VB15-01191_testedNeg_30+15
597A8			p1_E08_AKC_2017_VB15-01202_testedNeg_30+15
656A9			p1_E09_AKC_2017_VB15-01246_testedNeg_30+15
194A10			p1_E10_AKC_2017_VB15-01259_testedNeg_30+15
166A11			p1_E11_AKC_2017_VB15-01260_testedNeg_30+15
703A12			p1_E12_AKC_2017_VB15-01263_testedNeg_30+15
177A1			p1_F01_AKC_2017_VB15-01271_testedNeg_30+15
583A2			p1_F02_AKC_2017_VB15-01281_testedNeg_30+15
200A3			p1_F03_AKC_2017_VB15-01297_testedNeg_30+15
76A4			p1_F04_AKC_2017_VB15-01301_testedNeg_30+15
122A5			p1_F05_AKC_2017_VB15-01322_testedNeg_30+15
37A6			p1_F06_AKC_2017_VB15-01360_testedNeg_30+15
742A7			p1_F07_AKC_2017_VB15-01361_testedNeg_30+15
464A8			p1_F08_AKC_2017_VB15-01376_testedNeg_30+15
562A9			p1_F09_AKC_2017_VB15-01415_testedNeg_30+15
303A10			p1_F10_AKC_2017_VB15-01416_testedNeg_30+15
331A11			p1_F11_AKC_2017_VB15-01420_testedNeg_30+15
391A12			p1_F12_AKC_2017_VB15-01429_testedNeg_30+15
659A1			p1_G01_AKC_2017_VB15-01431_testedNeg_30+15
448A2			p1_G02_AKC_2017_VB15-01459_testedNeg_30+15
708A3			p1_G03_AKC_2017_VB15-01465_testedNeg_30+15
322A4			p1_G04_AKC_2017_VB15-01491_testedNeg_30+15
461A5			p1_G05_AKC_2017_VB15-01500_testedNeg_30+15
687A6			p1_G06_AKC_2017_VB15-01532_testedNeg_30+15
766A7			p1_G07_AKC_2017_VB15-01538_testedNeg_30+15
712A8			p1_G08_AKC_2017_VB15-01554_testedNeg_30+15
398A9			p1_G09_AKC_2017_VB15-01575_testedNeg_30+15
635A10			p1_G10_AKC_2017_VB15-01578_testedNeg_30+15
475A11			p1_G11_AKC_2017_VB15-01583_testedNeg_30+15
549A12			p1_G12_AKC_2017_VB15-01594_testedNeg_30+15
111A1			p1_H01_AKC_2017_VB15-01611_testedNeg_30+15
304A2			p1_H02_AKC_2017_VB15-01615_testedNeg_30+15
806A3			p1_H03_AKC_2017_VB15-01658_testedNeg_30+15
